url,fileName,updateDate,prefectureNameJP,testedPositive,hospitalized,bedCurrentPhase,bedFinalPhase,bedCapacity,bedUtilizationRate,plannedBedCapacity,severeCase,severeCaseBedCurrentPhase,severeCaseBedFinalPhase,severeCaseBedCapacity,severeCaseBedUtilizationRate,plannedSevereCaseBedCapacity,accomondated,accomondationCurrentPhase,accomondationFinalPhase,accomondationRoomCapacity,accomondationRoomUtilizationRate,plannedaccomondationRoomCapacity,atHome,atWelfareFacility,unconfirmed
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,東京都,2565,1418,3,4,4000,0.35000000000000003,4000,101,3,4,500,0.2,500,265,3,4,1860,0.14,3000,466,3,413
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,神奈川県,570,265,1,3,1939,0.14,1939,23,1,3,200,0.12,200,136,1,2,1000,0.14,1000,169,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,新潟県,8,8,1,3,456,0.02,456,0,1,3,112,0,112,0,1,3,176,0,176,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,富山県,58,50,2,4,500,0.1,500,0,2,4,36,0,36,8,2,4,100,0.08,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,石川県,136,131,2,2,258,0.51,254,5,2,2,35,0.14,35,3,2,2,340,0.01,340,0,0,2
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,福井県,68,65,3,4,190,0.34,190,3,3,4,24,0.13,24,3,3,4,75,0.04,75,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,山梨県,15,15,2,4,285,0.05,250,1,2,4,24,0.04,24,0,2,4,100,0,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,長野県,91,86,2,4,350,0.25,350,0,2,4,48,0,48,0,2,4,250,0,250,0,0,5
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,岐阜県,27,27,2,3,625,0.04,625,3,2,3,51,0.06,51,0,2,3,466,0,466,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,静岡県,41,34,3,4,466,0.07,450,1,3,4,37,0.03,67,4,3,4,450,0.01,450,0,0,3
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,愛知県,684,289,3,4,791,0.37,839,16,3,4,70,0.23,121,50,3,4,1300,0.04,1300,321,0,24
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,三重県,47,46,2,3,363,0.13,363,3,2,3,51,0.06,51,1,2,3,100,0.01,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,滋賀県,92,81,2,4,429,0.19,450,7,2,4,45,0.16,72,10,2,4,250,0.04,250,1,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,京都府,166,78,2,3,515,0.15,750,15,2,3,86,0.17,86,34,2,3,338,0.1,338,54,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,大阪府,1235,488,3,4,1282,0.38,1615,61,3,4,188,0.32,215,144,3,3,1517,0.09,1015,445,0,158
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,兵庫県,158,125,5,5,663,0.19,650,13,5,5,110,0.12,120,33,5,5,698,0.05,700,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,奈良県,39,38,1,3,467,0.08,500,4,1,3,25,0.16,25,1,1,3,108,0.01,108,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,和歌山県,7,7,2,4,400,0.02,400,0,2,4,40,0,40,0,2,4,137,0,137,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,鳥取県,0,0,1,3,313,0,300,0,1,3,47,0,40,0,1,3,340,0,150,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,島根県,2,2,1,5,253,0.01,253,0,1,5,25,0,25,0,1,5,98,0,98,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,岡山県,4,4,1,4,250,0.02,250,0,1,4,37,0,40,0,1,4,180,0,180,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,広島県,12,12,1,3,553,0.02,500,0,1,3,72,0,70,0,1,3,854,0,700,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,山口県,82,82,2,4,423,0.19,423,0,2,4,102,0,102,0,2,4,638,0,638,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,徳島県,65,59,2,4,200,0.3,200,2,2,4,25,0.08,25,6,2,4,150,0.04,150,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,香川県,7,6,1,3,185,0.03,185,0,1,3,25,0,25,1,1,3,101,0.01,101,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,愛媛県,1,1,1,3,229,0,223,0,1,3,33,0,33,0,1,3,117,0,117,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,高知県,21,21,2,4,192,0.11,200,1,2,4,57,0.02,57,0,2,4,420,0,190,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,福岡県,831,260,2,3,490,0.53,760,14,2,3,60,0.23,110,154,2,3,1057,0.15,1200,417,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,佐賀県,18,15,3,4,281,0.05,281,0,3,4,47,0,47,3,3,4,253,0.01,253,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,長崎県,43,22,3,4,395,0.06,395,1,3,4,27,0.04,42,9,3,4,224,0.04,550,12,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,熊本県,76,66,2,3,400,0.17,400,0,2,3,59,0,59,9,2,3,1430,0.01,140,1,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,大分県,16,11,2,4,330,0.03,330,0,2,4,41,0,41,5,1,2,170,0.03,170,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,宮崎県,30,28,2,3,246,0.11,246,0,2,3,33,0,33,2,2,3,250,0.01,250,0,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,鹿児島県,53,44,3,4,253,0.17,300,1,3,4,48,0.02,48,8,3,4,370,0.02,370,1,0,0
https://www.mhlw.go.jp/content/10900000/000694899.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月２日０時時点）,2020-09-02,沖縄県,398,256,5,5,461,0.56,425,20,5,5,49,0.41000000000000003,51,52,5,5,340,0.15,340,90,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,北海道,81,53,1,3,1767,0.03,1767,2,1,3,182,0.01,182,28,1,2,1170,0.02,1170,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,青森県,2,2,1,4,161,0.01,225,0,1,4,29,0,30,0,1,4,30,0,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,岩手県,5,5,1,3,374,0.01,350,0,1,3,59,0,45,0,1,3,225,0,300,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,宮城県,48,34,2,4,345,0.1,450,0,2,4,43,0,65,14,2,4,300,0.05,300,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,秋田県,3,2,2,4,222,0.01,235,0,2,4,21,0,27,1,2,4,16,0.06,69,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,山形県,2,2,2,4,215,0.01,215,1,2,4,25,0.04,26,0,2,4,188,0,188,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,福島県,50,50,2,4,469,0.11,350,2,2,4,42,0.05,50,0,2,4,100,0,160,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,茨城県,53,36,1,3,546,0.07,500,3,1,3,72,0.04,70,9,2,4,324,0.03,324,8,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,栃木県,21,21,2,4,311,0.07,311,1,2,4,41,0.02,41,0,2,4,284,0,250,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,群馬県,73,71,2,3,302,0.24,330,0,2,3,23,0,50,2,2,3,1300,0,1300,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,埼玉県,352,234,3,4,1095,0.21,1400,10,2,4,122,0.08,200,66,1,3,1225,0.05,1450,40,0,12
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,千葉県,294,190,3,4,1147,0.17,1200,8,3,4,101,0.08,180,42,3,4,710,0.06,1400,41,0,21
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,東京都,2201,1255,3,4,4000,0.31,4000,106,2,4,500,0.21,500,179,3,4,1860,0.1,3000,405,9,353
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,神奈川県,607,269,1,3,1939,0.14,1939,30,1,3,200,0.15,200,131,1,2,545,0.24,1000,189,18,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,新潟県,7,7,1,3,456,0.02,456,1,1,3,112,0.01,112,0,1,3,176,0,176,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,富山県,24,22,2,4,500,0.04,500,1,2,4,36,0.03,36,2,2,4,100,0.02,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,石川県,111,101,2,2,258,0.39,254,7,2,2,35,0.2,35,10,2,2,340,0.03,340,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,福井県,53,53,3,4,215,0.25,215,5,3,4,24,0.21,24,0,3,4,75,0,75,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,山梨県,10,10,2,4,285,0.04,250,1,2,4,24,0.04,24,0,2,4,100,0,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,長野県,40,40,2,4,350,0.11,350,0,2,4,48,0,48,0,2,4,250,0,250,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,岐阜県,18,18,1,3,625,0.03,625,2,1,3,51,0.04,51,0,1,3,466,0,466,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,静岡県,30,27,3,4,384,0.07,450,2,3,4,34,0.06,67,0,3,4,223,0,450,0,0,3
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,愛知県,444,219,3,4,791,0.28,839,17,3,4,70,0.24,121,34,3,4,1300,0.03,1300,180,0,11
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,三重県,84,84,2,3,363,0.23,363,2,2,3,51,0.04,51,0,2,3,100,0,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,滋賀県,49,47,2,4,429,0.11,450,3,2,4,45,0.07,72,2,2,4,260,0.01,250,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,京都府,137,81,2,3,515,0.16,750,10,2,3,86,0.12,86,28,2,3,338,0.08,338,28,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,大阪府,839,443,3,4,1282,0.35000000000000003,1615,44,3,4,188,0.23,215,128,3,3,1517,0.08,1015,167,0,101
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,兵庫県,118,99,5,5,663,0.15,650,12,5,5,110,0.11,120,19,5,5,698,0.03,700,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,奈良県,35,34,1,3,467,0.07,500,2,1,3,25,0.08,25,1,1,3,108,0.01,108,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,和歌山県,3,3,2,4,400,0.01,400,0,2,4,40,0,40,0,2,4,137,0,137,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,鳥取県,0,0,1,3,313,0,300,0,1,3,47,0,40,0,1,3,340,0,150,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,島根県,0,0,1,5,253,0,253,0,1,5,25,0,25,0,1,5,98,0,98,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,岡山県,1,1,1,4,250,0,250,0,1,4,37,0,40,0,1,4,207,0,180,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,広島県,12,12,1,3,553,0.02,500,0,1,3,72,0,70,0,1,3,854,0,700,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,山口県,53,53,2,4,423,0.13,423,1,2,4,102,0.01,102,0,2,4,834,0,834,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,徳島県,52,45,2,4,200,0.23,200,3,2,4,25,0.12,25,7,2,4,150,0.05,150,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,香川県,11,10,1,3,185,0.05,185,0,1,3,25,0,25,1,1,3,101,0.01,101,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,愛媛県,1,1,1,3,229,0,223,0,1,3,33,0,33,0,1,3,117,0,117,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,高知県,8,8,2,4,192,0.04,200,1,2,4,57,0.02,57,0,2,4,361,0,190,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,福岡県,625,225,2,3,490,0.46,760,17,2,3,60,0.28,110,67,2,3,1057,0.06,1200,333,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,佐賀県,8,8,3,4,281,0.03,281,0,3,4,47,0,47,0,3,4,253,0,253,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,長崎県,23,13,3,4,395,0.03,395,0,3,4,27,0,42,5,3,4,224,0.02,550,5,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,熊本県,46,42,1,3,400,0.11,400,0,1,3,59,0,59,2,1,3,1430,0,140,2,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,大分県,18,17,2,4,330,0.05,330,0,2,4,41,0,41,1,1,2,700,0,170,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,宮崎県,18,18,2,3,246,0.07,246,0,2,3,33,0,33,0,2,3,250,0,250,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,鹿児島県,25,22,3,4,253,0.09,300,1,3,4,48,0.02,48,3,3,4,370,0.01,370,0,0,0
https://www.mhlw.go.jp/content/10900000/000694897.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月９日０時時点）,2020-09-09,沖縄県,239,187,4,5,461,0.41000000000000003,425,20,4,5,49,0.41000000000000003,51,18,4,5,340,0.05,340,34,0,0
https://www.mhlw.go.jp/content/10900000/000694896.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月16日０時時点）,2020-09-16,北海道,62,40,1,3,1767,0.02,1767,2,1,3,182,0.01,182,22,1,2,1170,0.02,1170,0,0,0
https://www.mhlw.go.jp/content/10900000/000694896.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月16日０時時点）,2020-09-16,青森県,2,2,1,4,166,0.01,225,0,1,4,31,0,30,0,1,4,30,0,100,0,0,0
https://www.mhlw.go.jp/content/10900000/000694896.pdf,新型コロナウイルス感染症患者の療養状況等及び入院患者受入病床数等に関する調査結果（９月16日０時時点）,2020-09-16,岩手県,1,1,1,3,374,0,350,0,1,3,59,0,45,0,1,3,381,0,300,0,0,0
